time,chassis_joint.phi,chassis_joint.w,left_joint.phi,left_joint.w,Right_joint1.phi
0.93,-2.5219077413940245,5.5955628638174275,0.0,0.0,0.0
0.9400000000000001,-2.4648809275976458,5.810639588253076,0.0,0.0,0.0
0.9500000000000001,-2.4057522583399877,6.015942255529886,0.0,0.0,0.0
0.96,-2.344620852807367,6.21032916235329,0.0,0.0,0.0
0.97,-2.2816047895692058,6.392808353637388,0.0,0.0,0.0
0.98,-2.216829673300912,6.562300685638411,0.0,0.0,0.0
0.99,-2.1504268132976327,6.717601726484147,0.0,0.0,0.0
1.0,-2.0825427277871946,6.857762317468895,0.0,0.0,0.0
1.01,-2.0133358692797416,6.981956512525304,0.0,0.0,0.0
1.02,-1.9429716266698411,7.089054587387106,0.0,0.0,0.0
1.03,-1.8716236388469936,7.178249842313681,0.0,0.0,0.0
1.04,-1.7994674912201452,7.249180897659979,0.0,0.0,0.0
1.05,-1.7266994252847758,7.300990696312445,0.0,0.0,0.0
1.06,-1.65351733321808,7.333158735976463,0.0,0.0,0.0
1.07,-1.580100078310349,7.345774096331045,0.0,0.0,0.0
1.08,-1.5066644780304477,7.338449314676868,0.0,0.0,0.0
1.09,-1.433412232047093,7.311208595537844,0.0,0.0,0.0
1.1,-1.3605158366071546,7.264506393831891,0.0,0.0,0.0
1.11,-1.2881908063214738,7.198597603203267,0.0,0.0,0.0
1.12,-1.21662368987403,7.1140060030956835,0.0,0.0,0.0
1.1300000000000001,-1.1459794424549639,7.011405663200616,0.0,0.0,0.0
1.1400000000000001,-1.0764517433931293,6.89163471687454,0.0,0.0,0.0
1.1500000000000001,-1.0082024034290045,6.755507521848526,0.0,0.0,0.0
1.16,-0.9413828343925166,6.603919231090059,0.0,0.0,0.0
1.17,-0.8761544854696008,6.438044269254596,0.0,0.0,0.0
1.18,-0.812648966843098,6.258790376719623,0.0,0.0,0.0
1.19,-0.7509942359816212,6.067236728194582,0.0,0.0,0.0
1.2,-0.6913153880255473,5.864648983503371,0.0,0.0,0.0
1.21,-0.6337121348032326,5.651872444749845,0.0,0.0,0.0
1.22,-0.5782826709292017,5.430063650107299,0.0,0.0,0.0
1.23,-0.525114396392499,5.200384193074382,0.0,0.0,0.0
1.24,-0.47428321718909705,4.963608389699867,0.0,0.0,0.0
1.25,-0.4258546445777888,4.7207388369399546,0.0,0.0,0.0
1.26,-0.3798842774387739,4.472621197434352,0.0,0.0,0.0
1.27,-0.3364224385196824,4.220073861790373,0.0,0.0,0.0
1.28,-0.295506127124153,3.9637705366826435,0.0,0.0,0.0
1.29,-0.257167080539826,3.704331463287948,0.0,0.0,0.0
1.3,-0.22143758833565697,3.4423920370381706,0.0,0.0,0.0
1.31,-0.18833641028616155,3.1783890828146535,0.0,0.0,0.0
1.32,-0.1578811505775627,2.912748754828717,0.0,0.0,0.0
1.33,-0.13008761590477597,2.6458873571876866,0.0,0.0,0.0
1.34,-0.10496673610669137,2.3780713896587384,0.0,0.0,0.0
1.35,-0.08252653125623478,2.109561890125534,0.0,0.0,0.0
1.36,-0.06277252242152255,1.840581480610717,0.0,0.0,0.0
1.37,-0.04571091077249869,1.5712728649871395,0.0,0.0,0.0
1.3800000000000001,-0.031343396998272696,1.3017631879944873,0.0,0.0,0.0
1.3900000000000001,-0.019671349566500768,1.0321410968742601,0.0,0.0,0.0
1.4000000000000001,-0.010697049688306294,0.7624572064671687,0.0,0.0,0.0
1.41,-0.004419634724847517,0.49275228666481546,0.0,0.0,0.0
1.42,-0.0008394486492680378,0.22304113265139838,0.0,0.0,0.0
1.43,4.294851339650492e-05,-0.046675179442671536,0.0,0.0,0.0
1.44,-0.0017710113604516792,-0.31638786951990117,0.0,0.0,0.0
1.45,-0.006282070192741421,-0.586099941774373,0.0,0.0,0.0
1.46,-0.013490709068145056,-0.8558045325334568,0.0,0.0,0.0
1.47,-0.023394898819670766,-1.1254762041570658,0.0,0.0,0.0
1.48,-0.03599560398682651,-1.3950764230576895,0.0,0.0,0.0
1.49,-0.05129238192878668,-1.6645401721636184,0.0,0.0,0.0
1.5,-0.06928140631660558,-1.9337721992140038,0.0,0.0,0.0
1.51,-0.08996156842186184,-2.2026399862040065,0.0,0.0,0.0
1.52,-0.11332855234022243,-2.4709701810756877,0.0,0.0,0.0
1.53,-0.13937435122582562,-2.7385440220447723,0.0,0.0,0.0
1.54,-0.1680916830493195,-3.0050864393160266,0.0,0.0,0.0
1.55,-0.1994682728197471,-3.270268649011187,0.0,0.0,0.0
1.56,-0.2334877214714695,-3.5337008309432805,0.0,0.0,0.0
1.57,-0.2701315389405971,-3.79492081020821,0.0,0.0,0.0
1.58,-0.30937431286093336,-4.053408509840967,0.0,0.0,0.0
1.59,-0.3511855399563042,-4.30856781768899,0.0,0.0,0.0
1.6,-0.3955296161882053,-4.559718303657631,0.0,0.0,0.0
1.61,-0.44236199702134743,-4.8061391833164775,0.0,0.0,0.0
1.62,-0.49163158152596254,-5.047012469657913,0.0,0.0,0.0
1.6300000000000001,-0.543279059929329,-5.281440056872182,0.0,0.0,0.0
1.6400000000000001,-0.5972351708806596,-5.508531669525956,0.0,0.0,0.0
1.6500000000000001,-0.6534215306658504,-5.727265263975663,0.0,0.0,0.0
1.6600000000000001,-0.7117492722597994,-5.93658503925349,0.0,0.0,0.0
1.67,-0.7721203264215031,-6.135484189609153,0.0,0.0,0.0
1.68,-0.8344236650255191,-6.322831447995774,0.0,0.0,0.0
