time,imc.i_0_s,imc.idq_sr[1],imc.idq_sr[2],imc.idq_rr[1],imc.idq_rr[2]
6.2700000000000005,2.8294436341308787e-10,-9.944107381891914,7.698360738898691,7.340767103268001,1.904427675442641
6.28,2.851761929444194e-10,-9.977879717047994,7.654520381867775,7.332313851579255,1.936721850077823
6.29,2.885583998542813e-10,-10.011458924096337,7.610534220755034,7.323718752574202,1.9689758917200708
6.3,2.9324195416588563e-10,-10.044844326575214,7.566403262427715,7.314981959476885,2.0011889626129
6.3100000000000005,2.993778259024454e-10,-10.078035248022903,7.522128513753063,7.306103625511346,2.0333602249998295
6.32,3.071169850871716e-10,-10.111031011977673,7.4777109815983325,7.29708390390163,2.06548884112437
6.33,3.1661040174327697e-10,-10.143830941977793,7.43315167283077,7.28792294787178,2.09757397323004
6.34,3.2800904589397366e-10,-10.17643436156154,7.388451594317625,7.278620910645838,2.1296147835603554
6.3500000000000005,3.4146388756247527e-10,-10.20884059426719,7.34361175292614,7.269177945447847,2.1616104343588356
6.36,3.571258967719916e-10,-10.241048963633009,7.298633155523572,7.25959420550185,2.193560087868989
6.37,3.641607218432535e-10,-10.273060701465479,7.253509502568826,7.249871108039194,2.225472982087051
6.38,3.615490846736149e-10,-10.30487533458752,7.208241022589571,7.240008940936528,2.257349352609784
6.390000000000001,3.5771520323641053e-10,-10.336490749385502,7.1628342250436425,7.230006905470728,2.289180773445902
6.4,3.525962565636106e-10,-10.367906306535486,7.117289974604529,7.219865179465335,2.3209666029283174
6.41,3.461294236871844e-10,-10.399121366713532,7.071609135945706,7.2095839407438875,2.3527061993899503
6.42,3.382518836391017e-10,-10.430135290595702,7.025792573740656,7.199163367129925,2.384398921163718
6.43,3.2890081545133185e-10,-10.460947438858057,6.979841152662858,7.1886036364469845,2.41604412658254
6.44,3.180133981558437e-10,-10.49155717217666,6.93375573738579,7.177904926518607,2.447641173979335
6.45,3.0552681078460866e-10,-10.521963851227566,6.887537192582942,7.16706741516833,2.4791894216870154
6.46,2.9137823236959546e-10,-10.552166836686842,6.8411863829277895,7.156091280219692,2.510688228038502
6.47,2.755048419427737e-10,-10.582165489230547,6.794704173093814,7.144976699496232,2.5421369513667122
6.48,2.578438185361114e-10,-10.611959169534744,6.748091427754492,7.133723850821489,2.573534950004568
6.49,2.383323411815813e-10,-10.64154723827549,6.701349011583313,7.122332912019002,2.6048815822849787
6.5,2.1690758891115142e-10,-10.670929056128845,6.654477789253753,7.110804060912309,2.636176206540867
6.51,1.9536367313608667e-10,-10.700104549723696,6.607478289860583,7.099137859739867,2.6674190428818005
6.5200000000000005,1.8727590832448748e-10,-10.729077236344773,6.560348913438312,7.087337309638963,2.698615778910846
6.53,1.8046013067878307e-10,-10.757842782345039,6.513092715189625,7.075400079119893,2.7297601476132516
6.54,1.7506338528146144e-10,-10.786400612363188,6.465710521861699,7.063326389451851,2.7608516047178724
6.55,1.7123271721501146e-10,-10.814750151037922,6.418203160201713,7.0511164619040265,2.7918896059535574
6.5600000000000005,1.691151715619218e-10,-10.842890823007926,6.37057145695684,7.038770517745612,2.8228736070491625
6.57,1.6885779340468176e-10,-10.870822052911894,6.322816238874268,7.026288778245801,2.8538030637335314
6.58,1.7060762782577986e-10,-10.898543265388522,6.274938332701171,7.013671464673786,2.884677431735519
6.59,1.7451171990770498e-10,-10.926053885076502,6.226938565184729,7.000918798298758,2.915496166783975
6.6000000000000005,1.807171147329466e-10,-10.953353336614533,6.178817763072114,6.988031000389907,2.9462587246077545
6.61,1.893708573839924e-10,-10.980441044641301,6.130576753110516,6.9750082922164305,2.976964560935702
6.62,2.0061999294333163e-10,-11.0073164337955,6.082216362047107,6.961850895047518,3.007613131496671
6.63,2.1461156649345328e-10,-11.033978928715829,6.033737416629067,6.948559030152361,3.0382038920195122
6.640000000000001,2.3149262311684776e-10,-11.06042795404098,5.98514074360357,6.935132918800152,3.0687362982330804
6.65,2.5141020789600073e-10,-11.08666293440964,5.9364271697178035,6.921572782260083,3.0992098058662205
6.66,2.5755997505981486e-10,-11.112681707739199,5.8875981911672906,6.9078764410359375,3.129625637351231
6.67,2.554683052295229e-10,-11.138484202196725,5.838654422257217,6.8940448782531325,3.159982687773254
6.68,2.5159118890251417e-10,-11.164070432964676,5.7895964405803895,6.880079208694442,3.1902797553318747
6.69,2.457491642212272e-10,-11.189439794119327,5.740425085778473,6.865979607387036,3.220516329785068
6.7,2.377627693281024e-10,-11.214591679736946,5.691141197493145,6.851746249358088,3.2506919008908
6.71,2.2745254236557837e-10,-11.239525483893814,5.64174561536607,6.837379309634771,3.280805958407046
6.72,2.1463902147609442e-10,-11.2642406006662,5.592239179038914,6.822878963244253,3.3108579920917784
6.73,1.9914274480208825e-10,-11.28873642413038,5.542622728153342,6.808245385213704,3.340847491702971
6.74,1.807842504860018e-10,-11.313012348362628,5.492897102351031,6.7934787505703005,3.3707739469985922
6.75,1.59384076670273e-10,-11.337067767439217,5.443063141273645,6.778579234341209,3.4006368477366165
6.76,1.3476276149734112e-10,-11.360902075436421,5.393121684562852,6.763547011553606,3.430435683675016
6.7700000000000005,1.0674084310964267e-10,-11.384514666430515,5.343073571860316,6.748382257234657,3.460169944571765
6.78,7.513885964962184e-11,-11.407904934497772,5.292919642807714,6.733085146411539,3.489839120184831
6.79,3.977734925971553e-11,-11.431072273714465,5.242660737046711,6.71765585411142,3.519442700272189
6.8,6.1603978690743906e-12,-11.454017314704828,5.192298342956914,6.7020952320259655,3.548980834324909
6.8100000000000005,-1.3865182098045756e-11,-11.47674206805605,5.1418346728965965,6.686404886990982,3.5784544080831
6.82,-3.364711528501182e-11,-11.499243062875376,5.091269063440688,6.670583426263613,3.607861382763207
6.83,-5.307554477272139e-11,-11.521519756185066,5.040602387254598,6.654631059316371,3.6372012817066595
6.84,-7.204061364207026e-11,-11.543571605007386,4.989835517003747,6.638547995621769,3.6664736282548858
6.8500000000000005,-9.043246497395584e-11,-11.565398066364605,4.938969325353553,6.62233444465232,3.6956779457493147
6.86,-1.0814124184927063e-10,-11.586998597278976,4.888004684969441,6.605990615880536,3.72481375753137
