time,rev1.phi,rev1.w,rev2.phi,rev2.w,rev3.phi
0.64,-2.14561985917936,25.42466953187615,0.023507437593918545,5.790950542027068,1.962447110812992e-07
0.65,-1.8823523382323633,27.076018305618586,-0.0013483229095514189,-8.312793794958276,-1.1249389162389747e-08
0.66,-1.6073856810783267,27.743224574222964,-0.017607400246436006,7.12008718279255,-1.4697780707489213e-07
0.67,-1.3310241195356098,27.352916341659707,0.03032802632822542,-3.3158360847476858,2.533689084801787e-07
0.68,-1.0637249657599048,25.947937268401223,-0.032844003341765675,-2.2169438541165407,-2.7442606106101147e-07
0.6900000000000001,-0.814972771904352,23.673969976278194,0.015924099947677465,7.0386866121358755,1.3288917965813677e-07
0.7000000000000001,-0.5924520436961679,20.73751875289558,0.022109905156135645,-5.747907771542058,1.8454984478634067e-07
0.71,-0.4017131985433848,17.35241981200298,-0.037707344062016326,-3.135898107852472,-3.1500386614986707e-07
0.72,-0.24628663949483617,13.701079469852568,-0.024310399295217253,4.753496284116526,-2.0282052615371047e-07
0.73,-0.128127813508058,9.91690080629606,0.02881994740556714,4.820644390445878,2.4013933257598557e-07
0.74,-0.04811724905505541,6.080734928413669,0.0639302053388729,2.2877718826726365,5.339163989418866e-07
0.75,-0.006556519657380247,2.2306797245632004,0.0798476586593924,1.179735043005682,6.783953136210424e-07
0.76,-0.003507914052706516,-1.6209982873774866,0.09104051440926723,1.0834385371670188,7.383533155528414e-07
0.77,-0.03898194159340294,-5.47199791481147,0.09811519262706829,-0.05056803928000626,8.222990391852268e-07
0.78,-0.11292143463979304,-9.312186365330685,0.07904843351101096,-4.341859109547417,6.599942506912446e-07
0.79,-0.225080234856371,-13.10769851446742,0.008369654230407718,-9.067784383268322,6.324488129402183e-08
0.8,-0.374700965808883,-16.7885043819521,-0.0624284281926245,-2.262898040880423,-5.219237037078454e-07
0.81,-0.5600411053752397,-20.2257304073017,-0.008595814070555792,11.078051285913853,-7.087776497031377e-08
0.8200000000000001,-0.7778440182136046,-23.24823524754023,0.05309506449315804,-3.79663576900674,4.4384729903157293e-07
0.8300000000000001,-1.0228990294894933,-25.64094090478846,-0.04415366564314152,-6.714010945812942,-3.705229053171142e-07
0.84,-1.2878549869142504,-27.19449279182937,0.014722523705294659,12.313079856787763,1.222254822156312e-07
0.85,-1.5634658544673898,-27.751526258034918,0.015441890781901337,-12.399325948153873,1.2869573300234026e-07
0.86,-1.8393555106454096,-27.250577565067783,-0.040345150379922375,7.883853372155575,-3.3686082204038635e-07
0.87,-2.1051178209896695,-25.74613145908735,0.052728213827781756,0.5044732553135487,4.4085774622607047e-07
0.88,-2.351427446858338,-23.391656833384847,-0.034698429214598495,-9.500688305381427,-2.8939493991877944e-07
0.89,-2.570821792010405,-20.397766002218383,-0.025024896873576157,9.918275084443295,-2.0849827683855366e-07
0.9,-2.757970163987672,-16.977525988962306,0.06230810701175167,3.4045509068588324,5.209037373839424e-07
0.91,-2.9095376103757475,-13.30625362970453,0.030591465170577356,-7.825737872491968,2.5457792107877197e-07
0.92,-3.0236991264460404,-9.51383346596755,-0.051120810929552285,-7.1035012785830585,-4.2469362548196756e-07
0.93,-3.0996653637511375,-5.675465283019813,-0.10217942815922344,-3.325190381851477,-8.561934515571978e-07
0.9400000000000001,-3.137170497177852,-1.8249280287584275,-0.12612468480683087,-1.8769199231446165,-8.764390606852104e-07
0.9500000000000001,-3.1361520659559594,2.027146695613012,-0.14426273151803762,-1.7305055150391473,-1.2441929625071925e-06
0.96,-3.09659519877201,5.87834590800045,-0.1539969901448081,0.44826305760390384,-1.2971635280709882e-06
0.97,-3.018602906537783,9.715451836661206,-0.11736487559791438,7.738396915062281,-9.617079025914133e-07
0.98,-2.902454386604696,13.501404428946932,0.0009663519077689987,14.385068991209835,1.6494249700301842e-08
0.99,-2.748970553976622,17.165253052113197,0.10065180212157246,1.1407273716829176,8.429761646414216e-07
1.0,-2.5600323448509736,20.56557553642792,-0.004080898783997055,-17.621058443539876,-3.392975533502087e-08
1.01,-2.3390795414553818,23.53328430665589,-0.07572883394292988,9.705949731397341,-6.325265396915195e-07
1.02,-2.09155622086019,25.847673180680186,0.078140047640617,6.381918665308896,6.530402465094452e-07
1.03,-1.8250250294856036,27.301029054158967,-0.04177829702086121,-17.330303694232914,-3.4753563887925806e-07
1.04,-1.5488932783496232,27.74658179756331,-0.004104645530523774,20.478633196597485,-3.406837458979278e-08
1.05,-1.2735972141805232,27.13587024566307,0.04928802402701827,-15.986476974868564,4.1036780483523295e-07
1.06,-1.0094810954551843,25.534800886096292,-0.08162936649383502,3.79647668651299,-6.832244095318745e-07
1.07,-0.7657034294963191,23.10236768725455,0.06817057266739218,12.179667059892036,5.684687840368977e-07
1.08,-0.5494953157301015,20.05250162467739,0.023684601954296138,-16.691160549040937,1.962747719886309e-07
1.09,-0.3659748214136769,16.600507930746303,-0.10236026890853513,-3.076105985694362,-8.577102985432223e-07
1.1,-0.21828522658438285,12.909669984533231,-0.036654684332295205,12.878977965292012,-3.0278646254985345e-07
1.11,-0.10813200993758859,9.110474149743457,0.09039986209782032,10.628429970788854,7.451831775395557e-07
1.12,-0.036207061218062137,5.270873145997592,0.16608717498851655,4.960528339916992,1.3868303786562562e-06
